Tag	Count	First used	First video	Last used	Last video
nva	1	2020-12-04	1Ca73ynwzTs	2020-12-04	1Ca73ynwzTs
kingbee	1	2020-12-10	VsIIMa4n5rs	2020-12-10	VsIIMa4n5rs
vietnamese pilot	1	2020-12-10	VsIIMa4n5rs	2020-12-10	VsIIMa4n5rs
hands	1	2020-12-10	VsIIMa4n5rs	2020-12-10	VsIIMa4n5rs
hooks	1	2020-12-10	VsIIMa4n5rs	2020-12-10	VsIIMa4n5rs
def fm	1	2020-12-19	sd9x2I0AhAs	2020-12-19	sd9x2I0AhAs
jocko willink book	1	2020-12-19	sd9x2I0AhAs	2020-12-19	sd9x2I0AhAs
seals	1	2020-12-24	i66qyQ5mk48	2020-12-24	i66qyQ5mk48
learning	1	2020-12-24	i66qyQ5mk48	2020-12-24	i66qyQ5mk48
underground	1	2021-01-07	QtVyxGW7Qzs	2021-01-07	QtVyxGW7Qzs
jocko underground	2	2021-01-07	QtVyxGW7Qzs	2021-01-21	HA0Z50l_HNc
compete	1	2021-01-14	8izarrFWe8g	2021-01-14	8izarrFWe8g
influence	1	2021-01-14	8izarrFWe8g	2021-01-14	8izarrFWe8g
competing	2	2021-01-21	HA0Z50l_HNc	2021-02-04	8pShSM_20V0
mcdp	1	2021-02-04	8pShSM_20V0	2021-02-04	8pShSM_20V0
squad leader	1	2021-02-11	D_Tg9IwXVdo	2021-02-11	D_Tg9IwXVdo
journalist	1	2021-03-04	IHv0H9M4XWM	2021-03-04	IHv0H9M4XWM
woman	1	2021-03-04	IHv0H9M4XWM	2021-03-04	IHv0H9M4XWM
tulsi	1	2021-03-10	Sp3X-tvG7dU	2021-03-10	Sp3X-tvG7dU
hawaii	1	2021-03-10	Sp3X-tvG7dU	2021-03-10	Sp3X-tvG7dU
hawaiian	1	2021-03-10	Sp3X-tvG7dU	2021-03-10	Sp3X-tvG7dU
herbert	1	2021-03-17	flgmAYraL0o	2021-03-17	flgmAYraL0o
huey	1	2021-04-01	9wbMdm6xpJM	2021-04-01	9wbMdm6xpJM
