Tag	Count	First used	First video	Last used	Last video
Renatus	1	2018-06-21	6KsBXYmb0gk	2018-06-21	6KsBXYmb0gk
430 AD	1	2018-06-21	6KsBXYmb0gk	2018-06-21	6KsBXYmb0gk
Militari	1	2018-06-21	6KsBXYmb0gk	2018-06-21	6KsBXYmb0gk
De Re Militari	1	2018-06-21	6KsBXYmb0gk	2018-06-21	6KsBXYmb0gk
enemies	1	2018-06-27	OoTW-Y6kLdY	2018-06-27	OoTW-Y6kLdY
work advice	1	2018-06-27	OoTW-Y6kLdY	2018-06-27	OoTW-Y6kLdY
interruptions	1	2018-06-27	OoTW-Y6kLdY	2018-06-27	OoTW-Y6kLdY
anthony bourdain	1	2018-06-27	OoTW-Y6kLdY	2018-06-27	OoTW-Y6kLdY
tragedy	1	2018-06-27	OoTW-Y6kLdY	2018-06-27	OoTW-Y6kLdY
wu	1	2018-07-08	l01fXRCvGjo	2018-07-08	l01fXRCvGjo
spirit of wu	1	2018-07-08	l01fXRCvGjo	2018-07-08	l01fXRCvGjo
36 strategims	1	2018-07-08	l01fXRCvGjo	2018-07-08	l01fXRCvGjo
strategems	1	2018-07-08	l01fXRCvGjo	2018-07-08	l01fXRCvGjo
chinese poem	1	2018-07-08	l01fXRCvGjo	2018-07-08	l01fXRCvGjo
unit 731	1	2018-07-13	mizmXTWDf-4	2018-07-13	mizmXTWDf-4
imperial japan	1	2018-07-13	mizmXTWDf-4	2018-07-13	mizmXTWDf-4
biological warfare	1	2018-07-13	mizmXTWDf-4	2018-07-13	mizmXTWDf-4
vivisection	1	2018-07-13	mizmXTWDf-4	2018-07-13	mizmXTWDf-4
overwatch	1	2018-07-19	vDWupT4tc8M	2018-07-19	vDWupT4tc8M
marine	2	2018-07-19	vDWupT4tc8M	2019-10-16	5Rql0fwFkYY
dave berke	3	2018-07-25	1sUz83tnSvI	2020-11-04	GgzzkUquRSs
marine fighter pilot	1	2018-07-25	1sUz83tnSvI	2018-07-25	1sUz83tnSvI
melenials	1	2018-07-25	1sUz83tnSvI	2018-07-25	1sUz83tnSvI
ww1	1	2018-08-01	46bpGQXcKSU	2018-08-01	46bpGQXcKSU
world war 1	1	2018-08-01	46bpGQXcKSU	2018-08-01	46bpGQXcKSU
